1,0,0,单个动作,"[playlist]
item_no = 1            
item0 = 300,1,0,一条播放内容"
2,0,0,多个动作,"[playlist]
item_no = 2            
item0 = 300,1,0,第一条消息a
item1 = 300,1,0,第二条消息b"
3,0,0,动作条数大于等于动作数,"[playlist]
item_no = 10            
item0 = 300,1,0,第一条消息a1
item1 = 300,1,0,第二条消息b2
item2 = 300,1,0,第三条消息c3"
4,0,0,动作条数小于动作数,"[playlist]
item_no = 2           
item0 = 300,1,0,第一条消息a11
item1 = 300,1,0,第二条消息b22
item2 = 300,1,0,第三条消息c33
item2 = 300,1,0,第三条消息d44"
5,0,0,动作条数为0,"[playlist]
item_no = 0           
item0 = 300,1,0,第一条消息a11
item1 = 300,1,0,第二条消息b22
item2 = 300,1,0,第三条消息c33
item2 = 300,1,0,第三条消息d44"
6,0,0,动作条数为负数,"[playlist]
item_no = -2           
item0 = 300,1,0,第一条消息a11
item1 = 300,1,0,第二条消息b22
item2 = 300,1,0,第三条消息c33
item2 = 300,1,0,第三条消息d46"
7,0,0,itemN顺序颠倒,"[playlist]
item_no = 3            
item2 = 300,1,0,第一条消息a111
item0 = 300,1,0,第二条消息b222
item1 = 300,1,0,第三条消息c333"
8,0,0,itemN部分缺失,"[playlist]
item_no = 3            
item2 = 300,1,0,第一条消息1111
item4 = 300,1,0,第二条消息2222
item6 = 300,1,0,第三条消息3333
item1 = 300,1,0,第四条消息4444
item0 = 300,1,0,第五条消息5555"
9,0,0,itemN部分缺失,"[playlist]
item_no = 4            
item2 = 300,1,0,第一条消息1111
item4 = 300,1,0,第二条消息2222
item6 = 300,1,0,第三条消息3333
item1 = 300,1,0,第四条消息4444
item0 = 300,1,0,第五条消息5556"
10,0,0,itemN重叠,"[playlist]
item_no = 5            
item0 = 300,1,0,第一条消息11111
item1 = 300,1,0,第二条消息22222
item1 = 300,1,0,第三条消息33333
item2 = 300,1,0,第四条消息44444
item3 = 300,1,0,第五条消息55555"
11,0,0,动作条数为500条,"[playlist]
item_no = 500            
item0 = 300,1,0,\b000255000000第一条消息11111
item1 = 300,1,0,第二条消息22222
item2 = 300,1,0,第三条消息33333
item3 = 300,1,0,第四条消息44444
item4 = 300,1,0,第五条消息55555
item499 = 30000,1,0,\fs6464第五百条消息0000000"
12,0,0,动作条数大于500条,"[playlist]
item_no = 600            
item0 = 300,1,0,\b000255000000第一条消息11111
item1 = 300,1,0,第二条消息22222
item2 = 300,1,0,第三条消息33333
item3 = 300,1,0,第四条消息44444
item4 = 300,1,0,第五条消息55555
item499 = 10000,1,0,\fs6464第五百条消息0000000
item500 = 10000,1,0,\fs6464第501条消息
item550 = 10000,1,0,\fs6464第551条消息"
13,0,0,缺省值,"[playlist]
item_no = 3            
item0 = ,1,0,第一条消息11111
item1 = 300,1,0,第二条"
14,0,0,停留时间最小值1,"[playlist]
item_no = 2            
item0 = 0,1,0,第一条消息a11111
item1 = 300,1,0,第二条"
15,0,0,停留时间最小值2,"[playlist]
item_no = 2            
item0 = 1,1,0,第一条消息a11111
item1 = 300,1,0,第二条"
16,0,0,停留时间最小值3,"[playlist]
item_no = 2            
item0 = 2,1,0,第一条消息a11111
item1 = 300,1,0,第二条"
17,0,0,最大值,"[playlist]
item_no = 2           
item0 = 8640000,1,0,\b000255000000最大停留时间
item1 = 300,1,0,\fs6464第二条"
18,0,0,超出最大值,"[playlist]
item_no = 2           
item0 = 123456789,1,0,\b000255000000最大停留时间
item1 = 500,1,0,\fs6464第二条"
